"id","taiaroa_east","direction","latitude","longitude","date","species","species_nice_name","count","year","month","season"
"munida_2015_03_10","TaiaroaEast5.10km","out","-45.774693","170.820007","2015-03-10","black_backed_gull","Black-backed gull",1,2015,3,"summer"
"munida_2015_03_10","TaiaroaEast5.10km","out","-45.774693","170.820007","2015-03-10","red_billed_gull","Red-billed gull",74,2015,3,"summer"
"munida_2015_03_10","TaiaroaEast5.10km","out","-45.774693","170.820007","2015-03-10","white_capped_mollymawk","White-capped albatross",2,2015,3,"summer"
"munida_2015_03_10","TaiaroaEast5.10km","out","-45.774693","170.820007","2015-03-10","white_fronted_tern","White-fronted tern",1,2015,3,"summer"
"munida_2015_03_10","TaiaroaEast10.15km","out","-45.781968","170.880842","2015-03-10","black_backed_gull","Black-backed gull",1,2015,3,"summer"
"munida_2015_03_10","TaiaroaEast10.15km","out","-45.781968","170.880842","2015-03-10","red_billed_gull","Red-billed gull",20,2015,3,"summer"
"munida_2015_03_10","TaiaroaEast10.15km","out","-45.781968","170.880842","2015-03-10","sooty_shearwater","Sooty shearwater",4,2015,3,"summer"
"munida_2015_03_10","TaiaroaEast10.15km","out","-45.781968","170.880842","2015-03-10","white_capped_mollymawk","White-capped albatross",3,2015,3,"summer"
"munida_2015_03_10","TaiaroaEast10.15km","out","-45.781968","170.880842","2015-03-10","cape_petrel","Cape petrel",1,2015,3,"summer"
"munida_2015_03_10","TaiaroaEast10.15km","out","-45.781968","170.880842","2015-03-10","southern_royal_albatross","Southern royal albatross",1,2015,3,"summer"
"munida_2015_03_10","TaiaroaEast15.20km","out","-45.784802","170.948576","2015-03-10","black_backed_gull","Black-backed gull",2,2015,3,"summer"
"munida_2015_03_10","TaiaroaEast15.20km","out","-45.784802","170.948576","2015-03-10","red_billed_gull","Red-billed gull",6,2015,3,"summer"
"munida_2015_03_10","TaiaroaEast15.20km","out","-45.784802","170.948576","2015-03-10","white_capped_mollymawk","White-capped albatross",2,2015,3,"summer"
"munida_2015_03_10","TaiaroaEast15.20km","out","-45.784802","170.948576","2015-03-10","white_fronted_tern","White-fronted tern",1,2015,3,"summer"
"munida_2015_03_10","TaiaroaEast15.20km","out","-45.784802","170.948576","2015-03-10","bullers_mollymawk","Buller's albatross",1,2015,3,"summer"
"munida_2015_03_10","TaiaroaEast15.20km","out","-45.784802","170.948576","2015-03-10","cape_petrel","Cape petrel",2,2015,3,"summer"
"munida_2015_03_10","TaiaroaEast15.20km","out","-45.784802","170.948576","2015-03-10","white_chinned_petrel","White-chinned petrel",2,2015,3,"summer"
"munida_2015_03_10","TaiaroaEast15.20km","out","-45.784802","170.948576","2015-03-10","southern_royal_albatross","Southern royal albatross",1,2015,3,"summer"
"munida_2015_03_10","TaiaroaEast15.20km","out","-45.784802","170.948576","2015-03-10","bullers_shearwater","Buller's shearwater",1,2015,3,"summer"
"munida_2015_03_10","TaiaroaEast20.25km","out","-45.791233","171.00974","2015-03-10","sooty_shearwater","Sooty shearwater",1,2015,3,"summer"
"munida_2015_03_10","TaiaroaEast20.25km","out","-45.791233","171.00974","2015-03-10","white_capped_mollymawk","White-capped albatross",6,2015,3,"summer"
"munida_2015_03_10","TaiaroaEast20.25km","out","-45.791233","171.00974","2015-03-10","bullers_mollymawk","Buller's albatross",1,2015,3,"summer"
